id,g(x)
1225,0.154854
1226,0.068816
1227,0.15481799999999998
1228,0.0688
1229,0.068792
1230,0.068784
1231,0.068776
1232,0.154728
1233,0.06876
1234,0.154692
1235,0.15467399999999998
1236,0.154656
1237,0.068728
1238,0.08872933884297521
1239,0.08871900826446281
1240,0.08870867768595042
1241,0.08869834710743803
1242,0.08868801652892562
1243,0.08867768595041323
1244,0.12768099173553718
1245,0.08865702479338843
1246,0.1276512396694215
1247,0.12763636363636363
1248,0.1276214876033058
1249,0.12760661157024794
1250,0.2412
1251,0.008748979591836735
1252,0.3149265306122449
1253,0.31488979591836735
1254,0.3148530612244898
1255,0.008744897959183673
1256,0.3147795918367347
1257,0.068536
1258,0.068528
1259,0.15417
1260,0.154152
1261,0.068504
1262,0.15411599999999998
1263,0.15409799999999998
1264,0.3144122448979592
1265,0.008732653061224489
1266,0.3143387755102041
1267,0.008730612244897958
1268,0.008729591836734694
1269,0.31422857142857147
1270,0.31419183673469386
1271,0.008726530612244897
1272,0.008725510204081632
1273,0.008724489795918366
1274,0.31404489795918367
1275,0.3140081632653061
1276,0.24035625
1277,0.240328125
1278,0.2403
1279,0.240271875
1280,0.02669375
1281,0.2401875
1282,0.240159375
1283,0.02668125
1284,0.240103125
1285,0.313530612244898
1286,0.1896222222222222
1287,0.1896
1288,0.18957777777777776
1289,0.04738888888888888
1290,0.04738333333333333
1291,0.026646875
1292,0.02664375
1293,0.026640625
1294,0.23973750000000002
1295,0.23970937499999997
1296,0.02663125
1297,0.026628125
1298,0.239625
1299,0.239596875
1300,0.02661875
1301,0.026615625
1302,0.23951250000000002
1303,0.05429846938775511
1304,0.1759063775510204
1305,0.17588571428571428
1306,0.05427933673469388
1307,0.05427295918367347
1308,0.1758237244897959
1309,0.1758030612244898
1310,0.05425382653061225
1311,0.05424744897959184
1312,0.05424107142857143
1313,0.1757204081632653
1314,0.17569974489795917
1315,0.0542219387755102
1316,0.0542155612244898
1317,0.054209183673469385
1318,0.05420280612244898
1319,0.17559642857142857
1320,0.054190051020408164
1321,0.05418367346938776
1322,0.17553443877551023
1323,0.17551377551020408
1324,0.05416454081632654
1325,0.17547244897959183
1326,0.054151785714285715
1327,0.0541454081632653
1328,0.0541390306122449
1329,0.17538979591836734
1330,0.17536913265306123
1331,0.1753484693877551
1332,0.054113520408163265
1333,0.05410714285714286
1334,0.17528647959183674
1335,0.1752658163265306
1336,0.05408801020408163
1337,0.17522448979591837
1338,0.17520382653061226
1339,0.05406887755102041
1340,0.0540625
1341,0.17514183673469388
1342,0.17512117346938777
1343,0.004236500000000001
1344,0.004236
1345,0.0042355
1346,0.004235
1347,0.34299450000000004
1348,0.067736
1349,0.067728
1350,0.06772
1351,0.06771200000000001
1352,0.152334
1353,0.17483188775510203
1354,0.05395408163265306
1355,0.1747905612244898
1356,0.053941326530612246
1357,0.17474923469387757
1358,0.05392857142857143
1359,0.1747079081632653
1360,0.1746872448979592
1361,0.17466658163265308
1362,0.0539030612244898
1363,0.17462525510204083
1364,0.17460459183673468
1365,0.013963636363636364
1366,0.2827301652892562
1367,0.013960330578512398
1368,0.013958677685950414
1369,0.28262975206611574
1370,0.013955371900826448
1371,0.013953719008264462
1372,0.01395206611570248
1373,0.28249586776859503
1374,0.28246239669421486
1375,0.2824289256198347
1376,0.10545
1377,0.1054375
1378,0.20209260355029587
1379,0.20206863905325442
1380,0.202044674556213
1381,0.03990532544378698
1382,0.20199674556213018
1383,0.1333177734375
1384,0.133301953125
